tiempo,corriente,voltaje,potencia,SOC
91.0,-0.244836,3.593851,-0.879904103436,0.40101514834081187
92.0,-0.2434085,3.593869,-0.8747782624865,0.4010250592868589
93.0,-0.2431825,3.59361,-0.8739030638249999,0.40103493666826917
94.0,-0.2426415,3.593403,-0.8719086940245,0.401044798480235
95.0,-0.2437905,3.593466,-0.8760528728729999,0.4010546726340812
96.0,-0.267848,3.59876,-0.96392066848,0.4010650584583333
97.0,-0.266963,3.598656,-0.960708001728,0.40107591466452985
98.0,-0.266752,3.598679,-0.959954820608,0.4010867486228632
99.0,-0.2656115,3.598601,-0.9558298095115,0.40109755514690165
100.0,-0.26699,3.598462,-0.96075336938,0.4011083665021367
101.0,-0.2654135,3.598447,-0.9550764128345002,0.401119173838141
102.0,-0.2664885,3.598397,-0.9589314189345,0.4011299709941239
103.0,-0.26184,3.598097,-0.94212571848,0.4011406956111111
104.0,-0.2634755,3.597989,-0.9479819507695,0.4011513590667735
105.0,-0.2635345,3.598021,-0.9482026652245,0.4011620569193376
106.0,-0.262602,3.597965,-0.94483280493,0.4011727370405983
107.0,-0.2621595,3.597848,-0.943210032756,0.4011833892505342
108.0,-0.2601915,3.597663,-0.9360813324645,0.40119399252938037
109.0,-0.2610745,3.597693,-0.9392659011285,0.4012045737836539
110.0,-0.260058,3.597505,-0.93555995529,0.4012151523279915
111.0,-0.2584225,3.597549,-0.9296876064525,0.40122567703899575
112.0,-0.2584275,3.597237,-0.9296249648175,0.4012361686522436
113.0,-0.256793,3.597169,-0.923727819017,0.4012466271880342
114.0,-0.257107,3.59705,-0.9248267343499998,0.4012570589188035
115.0,-0.254326,3.59683,-0.91476738658,0.40126744057158126
116.0,-0.2539565,3.596865,-0.9134472463725,0.40127775827190176
117.0,-0.252925,3.596656,-0.9096842188,0.4012880475331197
118.0,-0.2533465,3.596674,-0.911204769541,0.40129832441185903
119.0,-0.2518605,3.596431,-0.9057989098755,0.40130857968215816
120.0,-0.25283,3.596369,-0.90926997427,0.40131882446794875
121.0,-0.2512715,3.59624,-0.90363261916,0.40132905729754276
122.0,-0.249605,3.596003,-0.8975803288149999,0.4013392246623932
123.0,-0.2494745,3.596023,-0.8971160399135,0.4013493555496795
124.0,-0.247808,3.595684,-0.891039260672,0.4013594499594017
125.0,-0.247595,3.595769,-0.890294425555,0.40136950621688033
126.0,-0.2469775,3.595551,-0.8880201971024999,0.4013795456159188
127.0,-0.2456825,3.595423,-0.8833325111974999,0.4013895461928419
128.0,-0.246556,3.59533,-0.88645018348,0.40139953821367524
129.0,-0.242988,3.595013,-0.8735450188439999,0.40140947553846157
130.0,-0.244498,3.594935,-0.8789544176299999,0.4014193710876069
131.0,-0.243792,3.594917,-0.8764120052640001,0.401429282957265
132.0,-0.242148,3.594705,-0.8704506263399999,0.40143914712393164
133.0,-0.2399895,3.59444,-0.86262785838,0.4014489341030983
134.0,-0.240661,3.594376,-0.8650261225360001,0.4014586908974359
135.0,-0.2383835,3.594118,-0.856778428253,0.4014684150913462
136.0,-0.238721,3.593927,-0.857945847367,0.40147809990491456
137.0,-0.237986,3.593842,-0.855284082212,0.4014877766495727
138.0,-0.238052,3.593797,-0.855510563444,0.40149743981410263
139.0,-0.237309,3.593524,-0.852775586916,0.40150708923611117
140.0,-0.2345205,3.593362,-0.842717052921,0.4015166669716881
141.0,-0.2339635,3.593338,-0.840709935163,0.4015261767964744
142.0,-0.2332335,3.593026,-0.838014029571,0.4015356604962607
143.0,-0.232515,3.592934,-0.83541104901,0.4015451147927351
144.0,-0.231329,3.592694,-0.831094310326,0.40155453042948724
145.0,-0.229119,3.592434,-0.823094885646,0.4015638771303419
146.0,-0.2288885,3.592231,-0.8222203652435,0.40157317429113254
147.0,-0.2277875,3.592198,-0.818257801925,0.4015824444236112
148.0,-0.229435,3.592023,-0.8241357970050001,0.40159172564957274
149.0,-0.2252695,3.59182,-0.80912749549,0.40160095576228644
150.0,-0.2245905,3.59144,-0.80660330532,0.4016100875357907
151.0,-0.224642,3.591463,-0.806793431246,0.4016192065715813
152.0,-0.2229905,3.591157,-0.8007938950085001,0.40162829312873943
153.0,-0.223565,3.591102,-0.80284471863,0.40163735782371807
154.0,-0.222737,3.590937,-0.7998345345689999,0.4016464173728634
155.0,-0.219957,3.59073,-0.7898061986100001,0.4016554036826924
156.0,-0.220841,3.59049,-0.79292740209,0.401664351505342
157.0,-0.219577,3.590227,-0.788331273979,0.40167329161431636
158.0,-0.217531,3.59013,-0.78096456903,0.4016821645331198
159.0,-0.2160275,3.589897,-0.7755164741675,0.40169096540010696
160.0,-0.2165535,3.589708,-0.777363831378,0.4016997464246796
161.0,-0.188452,3.584151,-0.675440424252,0.40170796769017103
162.0,-0.187279,3.583844,-0.671178720476,0.4017155947083334
163.0,-0.1853125,3.583631,-0.6640916196875,0.4017231579973291
164.0,-0.182005,3.583246,-0.65216868823,0.40173061422863254
165.0,-0.182797,3.5831,-0.6549799306999999,0.401738019397436
166.0,-0.1819675,3.582815,-0.6519558885125001,0.40174542380502143
167.0,-0.1827445,3.582698,-0.654718354661,0.40175282714690175
168.0,-0.179749,3.582348,-0.643923470652,0.40176018545512826
169.0,-0.1777765,3.582102,-0.636813556203,0.4017674429172009
170.0,-0.177623,3.581851,-0.636219120173,0.40177465722329064
171.0,-0.176084,3.581683,-0.630677069372,0.40178183717307697
172.0,-0.17518,3.581417,-0.62739263006,0.40178896753205134
173.0,-0.1740805,3.58119,-0.623415345795,0.4017960572216881
174.0,-0.1731145,3.581058,-0.619933065141,0.40180310498344024
175.0,-0.1721995,3.580799,-0.6166117974005,0.40181011456250004
176.0,-0.1717245,3.580539,-0.6148662695054999,0.4018170959257479
